1,Australia
2,Anguilla
3,Antigua and Barbuda
4,Bahrain
5,Bangladesh
6,Barbados
7,Belize
8,Bermuda
9,Botswana
10,British Virgin Islands
11,Brunei Darussalam
12,Cameroon
13,Canada
14,Cayman Islands
15,Cook Islands
16,Cyprus
17,Dominica
18,England
19,Falkland Islands
20,Fiji
21,Ghana
22,Gibraltar
23,Grenada
24,Guernsey
25,Guyana
26,India
27,Isle of Man
28,Jamaica
29,Jersey
30,Kenya
31,Kiribati
32,Lesotho
33,Malawi
34,Malaysia
35,Malta
36,Mauritius
37,Montserrat
38,Mozambique
39,Namibia
40,Naura
41,New Zealand
42,Nigeria
43,Niue
44,Norfolk Island
45,Northern Ireland
46,Pakistan
47,Papua New Guinea
48,Rwanda
49,Saint Helena
50,Saint Kitts and Nevis
51,Saint Lucia
52,Samoa
53,Scotland
54,Seychelles
55,Sierra Leone
56,Singapore
57,Soloman Islands
58,South Africa
59,Sri Lanka
60,St Vincent and the Grenadines
61,Swaziland
62,The Bahamas
63,The Gambia
64,Tonga
65,Trinidad and Tobago
66,Turks and Caicos Islands
67,Tuvalu
68,Uganda
69,United Republic of Tanzania
70,Vanuatu
71,Wales
72,Zambia
